"evm_kernel" , "Booting evm_kernel" , "Decoding" ,  386656 ,  1.206702 
"evm_kernel" , "Booting evm_kernel" , "Linking" ,  4 ,  0.000004 
"evm_kernel" , "Booting evm_kernel" , "Initialisation" ,  1189812 ,  0.358912 
"evm_kernel" , "Booting evm_kernel" , "Evaluation" ,  8320 ,  0.002024 
"evm_kernel" , "Booting evm_kernel" , "Finish" ,  2 ,  0.000001 
"evm_kernel" , "Run a contract 0" , "Decoding" ,  386656 ,  1.035344 
"evm_kernel" , "Run a contract 0" , "Linking" ,  4 ,  0.000004 
"evm_kernel" , "Run a contract 0" , "Initialisation" ,  1189812 ,  0.347808 
"evm_kernel" , "Run a contract 0" , "Evaluation" ,  481845 ,  0.121383 
"evm_kernel" , "Run a contract 0" , "Finish" ,  2 ,  0.000002 
"evm_kernel" , "Run a contract 1" , "Decoding" ,  386656 ,  1.058006 
"evm_kernel" , "Run a contract 1" , "Linking" ,  4 ,  0.000003 
"evm_kernel" , "Run a contract 1" , "Initialisation" ,  1189812 ,  0.266766 
"evm_kernel" , "Run a contract 1" , "Evaluation" ,  5208313 ,  1.239503 
"evm_kernel" , "Run a contract 1" , "Finish" ,  2 ,  0.000001 
"evm_kernel" , "Run a contract 2" , "Decoding" ,  386656 ,  0.931752 
"evm_kernel" , "Run a contract 2" , "Linking" ,  4 ,  0.000004 
"evm_kernel" , "Run a contract 2" , "Initialisation" ,  1189812 ,  0.255129 
"evm_kernel" , "Run a contract 2" , "Evaluation" ,  9934413 ,  2.363666 
"evm_kernel" , "Run a contract 2" , "Finish" ,  2 ,  0.000002 
"evm_kernel" , "Run a contract 3" , "Decoding" ,  386656 ,  1.010293 
"evm_kernel" , "Run a contract 3" , "Linking" ,  4 ,  0.000004 
"evm_kernel" , "Run a contract 3" , "Initialisation" ,  1189812 ,  0.255252 
"evm_kernel" , "Run a contract 3" , "Evaluation" ,  14654259 ,  3.565703 
"evm_kernel" , "Run a contract 3" , "Finish" ,  2 ,  0.000001 
"evm_kernel" , "Run a contract 4" , "Decoding" ,  386656 ,  1.005493 
"evm_kernel" , "Run a contract 4" , "Linking" ,  4 ,  0.000003 
"evm_kernel" , "Run a contract 4" , "Initialisation" ,  1189812 ,  0.253580 
"evm_kernel" , "Run a contract 4" , "Evaluation" ,  19365859 ,  4.678225 
"evm_kernel" , "Run a contract 4" , "Finish" ,  2 ,  0.000001 
"evm_kernel" , "Run a contract 5" , "Decoding" ,  386656 ,  0.966522 
"evm_kernel" , "Run a contract 5" , "Linking" ,  4 ,  0.000003 
"evm_kernel" , "Run a contract 5" , "Initialisation" ,  1189812 ,  0.239927 
"evm_kernel" , "Run a contract 5" , "Evaluation" ,  24077459 ,  5.562892 
"evm_kernel" , "Run a contract 5" , "Finish" ,  2 ,  0.000001 
"evm_kernel" , "Run a contract 6" , "Decoding" ,  386656 ,  0.893006 
"evm_kernel" , "Run a contract 6" , "Linking" ,  4 ,  0.000003 
"evm_kernel" , "Run a contract 6" , "Initialisation" ,  1189812 ,  0.231258 
"evm_kernel" , "Run a contract 6" , "Evaluation" ,  28789059 ,  6.619212 
"evm_kernel" , "Run a contract 6" , "Finish" ,  2 ,  0.000002 
"evm_kernel" , "Run a contract 7" , "Decoding" ,  386656 ,  0.919309 
"evm_kernel" , "Run a contract 7" , "Linking" ,  4 ,  0.000003 
"evm_kernel" , "Run a contract 7" , "Initialisation" ,  1189812 ,  0.230713 
"evm_kernel" , "Run a contract 7" , "Evaluation" ,  33500659 ,  6.999893 
"evm_kernel" , "Run a contract 7" , "Finish" ,  2 ,  0.000001 
